Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
2020,177,941,1118,299,1204,1503,15.83184258,19.89354624
2021,218,1312,1530,421,1976,2397,14.24836601,17.56362119
2022,230,1201,1431,444,2108,2552,16.07267645,17.39811912
2023,143,988,1131,483,2163,2646,12.64367816,18.25396825
2024,152,1017,1169,426,1792,2218,13.0025663,19.20649234
2025,135,1103,1238,341,1988,2329,10.90468498,14.64147703
