District,Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
21,2024,20,96,81,0,324,29.62962963,25.0
21,2021,14,103,66,0,328,31.40243902,20.12195122
21,2022,16,108,78,0,342,31.57894737,22.80701754
21,2025,24,89,78,0,314,28.34394904,24.84076433
21,2019,8,109,64,0,299,36.4548495,21.40468227
21,2020,8,90,68,1,299,30.10033445,22.74247492
21,2023,15,107,95,0,332,32.22891566,28.61445783
21,2017,9,87,50,0,289,30.10380623,17.30103806
21,2026,5,44,47,0,150,29.33333333,31.33333333
21,2018,8,108,50,0,301,35.88039867,16.61129568
