Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,158,141,299,52.8,47.2
2021,181,147,329,55.0,44.7
2022,185,157,344,53.8,45.6
2023,200,133,339,59.0,39.2
2024,197,127,326,60.4,39.0
2025,182,132,317,57.4,41.6
