Filing Year,Male,Female,Unknown/Missing
2017,1873,2259,705
2018,2010,2423,731
2019,2104,2499,802
2020,1911,2262,1012
2021,1896,2259,1127
2022,1987,2285,931
2023,1686,1911,1463
2024,1803,2092,1542
2025,1649,2049,1625
