District,Filing Quarter,Number of violent cases filed involving a child victim
21,2017 Q1,17
21,2017 Q2,16
21,2017 Q3,14
21,2017 Q4,11
21,2018 Q1,25
21,2018 Q2,13
21,2018 Q3,13
21,2018 Q4,14
21,2019 Q1,14
21,2019 Q2,24
21,2019 Q3,10
21,2019 Q4,14
21,2020 Q1,16
21,2020 Q2,13
21,2020 Q3,14
21,2020 Q4,18
21,2021 Q1,25
21,2021 Q2,13
21,2021 Q3,19
21,2021 Q4,7
21,2022 Q1,15
21,2022 Q2,26
21,2022 Q3,23
21,2022 Q4,15
21,2023 Q1,11
21,2023 Q2,8
21,2023 Q3,18
21,2023 Q4,26
21,2024 Q1,17
21,2024 Q2,8
21,2024 Q3,13
21,2024 Q4,26
21,2025 Q1,19
21,2025 Q2,18
21,2025 Q3,13
21,2025 Q4,12
21,2026 Q1,12
21,2026 Q2,18
