Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
2017,2903,51,0,8,9,1837,29
2018,2974,56,2,11,5,2075,41
2019,2123,42,2,2,5,3193,38
2020,2892,59,16,10,13,2164,32
2021,2611,45,8,5,12,2571,30
2022,3110,59,10,6,9,1980,29
2023,3031,50,11,6,14,1898,50
2024,3136,74,7,11,11,2159,39
2025,3148,79,4,8,13,1941,134
