Disposition Year,Conviction,No Conviction,Total
2017,37,5,42
2018,33,13,46
2019,37,14,51
2020,22,6,28
2021,36,6,42
2022,16,6,22
2023,28,9,37
2024,38,9,47
2025,32,5,37
