Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,53,213,266,56,195,251,19.9,22.3
2021,66,322,388,62,305,367,17.0,16.9
2022,71,340,411,83,315,398,17.3,20.9
2023,60,360,420,66,310,376,14.3,17.6
2024,58,315,373,77,270,347,15.5,22.2
2025,34,279,313,58,284,342,10.9,17.0
