Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,3,23,10,0,61,37.7,16.4
2017 Q2,3,22,13,0,79,27.8,16.5
2017 Q3,3,27,19,0,87,31.0,21.8
2017 Q4,0,15,8,0,62,24.2,12.9
2018 Q1,0,33,8,0,81,40.7,9.9
2018 Q2,2,27,14,0,79,34.2,17.7
2018 Q3,3,28,16,0,81,34.6,19.8
2018 Q4,3,20,12,0,60,33.3,20.0
2019 Q1,2,26,4,0,54,48.1,7.4
2019 Q2,1,26,20,0,88,29.5,22.7
2019 Q3,3,33,19,0,78,42.3,24.4
2019 Q4,2,24,21,0,79,30.4,26.6
2020 Q1,1,14,14,1,63,22.2,22.2
2020 Q2,5,27,11,0,71,38.0,15.5
2020 Q3,0,24,25,0,86,27.9,29.1
2020 Q4,2,25,18,0,79,31.6,22.8
2021 Q1,5,39,19,0,102,38.2,18.6
2021 Q2,3,26,16,0,86,30.2,18.6
2021 Q3,3,23,13,0,78,29.5,16.7
2021 Q4,3,15,18,0,62,24.2,29.0
2022 Q1,2,26,14,0,69,37.7,20.3
2022 Q2,4,29,21,0,99,29.3,21.2
2022 Q3,4,24,23,0,80,30.0,28.8
2022 Q4,6,29,20,0,94,30.9,21.3
2023 Q1,4,25,23,0,75,33.3,30.7
2023 Q2,2,22,21,0,68,32.4,30.9
2023 Q3,4,26,29,0,91,28.6,31.9
2023 Q4,5,34,22,0,98,34.7,22.4
2024 Q1,3,19,23,0,70,27.1,32.9
2024 Q2,5,24,32,0,102,23.5,31.4
2024 Q3,11,23,13,0,81,28.4,16.0
2024 Q4,1,30,13,0,71,42.3,18.3
2025 Q1,4,27,24,0,76,35.5,31.6
2025 Q2,11,24,18,0,86,27.9,20.9
2025 Q3,4,23,17,0,81,28.4,21.0
2025 Q4,5,16,18,0,71,22.5,25.4
2026 Q1,1,20,27,0,79,25.3,34.2
2026 Q2,5,24,19,0,72,33.3,26.4
