District,Filing Year,Male,Female,Another Gender,Unknown/Missing
09,2017,5444,1801,0,81
09,2018,4517,1455,1,83
09,2019,3970,1249,2,138
09,2020,3194,958,0,81
09,2021,3363,999,0,57
09,2022,2637,751,0,57
09,2023,2683,743,2,94
09,2024,3065,778,3,152
09,2025,2988,826,1,140
09,2026,1537,420,0,53
