Filing Year,Under 18,18-25 y.o.,26-35 y.o.,36+ y.o.,Missing/Unknown
2017,250,1883,2292,2882,19
2018,285,1605,1821,2292,53
2019,301,1322,1628,2050,58
2020,283,1056,1302,1564,28
2021,215,1072,1430,1675,27
2022,185,772,1060,1405,23
2023,248,781,1096,1382,15
2024,220,770,1285,1703,20
2025,235,882,1127,1698,13
