Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,5600,156,1257,23,16,79,195
2018,4427,137,1156,8,22,134,172
2019,3850,146,1042,14,15,108,184
2020,2916,83,1041,8,12,71,102
2021,2952,121,1174,15,18,65,74
2022,2234,87,962,12,20,54,76
2023,2217,90,1014,11,9,71,110
2024,2578,99,1069,6,20,72,154
2025,2423,87,1134,20,22,101,168
