Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,4517,630,2179
2018,3718,589,1749
2019,3224,626,1509
2020,2357,677,1199
2021,2457,704,1258
2022,2004,469,972
2023,2099,497,926
2024,2382,599,1017
2025,2470,464,1021
