Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,4515,629,2181
2018,3715,589,1752
2019,3219,626,1514
2020,2356,677,1200
2021,2453,704,1262
2022,2002,469,974
2023,2097,497,928
2024,2378,600,1020
2025,2465,468,1022
