Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,13,15,21,49
2017 Q2,23,17,23,63
2017 Q3,15,19,22,56
2017 Q4,27,29,28,84
2018 Q1,15,22,22,59
2018 Q2,18,17,23,58
2018 Q3,22,18,13,53
2018 Q4,11,23,15,49
2019 Q1,15,20,13,48
2019 Q2,18,23,22,63
2019 Q3,25,15,15,55
2019 Q4,19,23,23,65
2020 Q1,31,29,21,81
2020 Q2,21,25,11,57
2020 Q3,15,15,19,49
2020 Q4,23,11,14,48
2021 Q1,17,13,12,42
2021 Q2,20,14,14,48
2021 Q3,36,9,7,52
2021 Q4,36,15,11,62
2022 Q1,40,15,9,64
2022 Q2,33,24,9,66
2022 Q3,24,14,8,46
2022 Q4,21,7,9,37
2023 Q1,12,17,10,39
2023 Q2,25,14,17,56
2023 Q3,23,18,11,52
2023 Q4,23,6,11,40
2024 Q1,23,12,16,51
2024 Q2,26,7,11,44
2024 Q3,23,12,16,51
2024 Q4,17,8,13,38
2025 Q1,26,18,13,57
2025 Q2,16,11,11,38
2025 Q3,29,8,16,53
2025 Q4,10,9,8,27
2026 Q1,11,10,13,34
2026 Q2,17,17,15,49
