Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,5586,156,1272,23,16,78,194
2018,4422,137,1164,8,22,133,170
2019,3850,146,1043,14,15,109,182
2020,2915,83,1045,8,12,68,102
2021,2953,121,1174,15,18,64,74
2022,2231,87,965,12,20,54,76
2023,2216,90,1018,11,9,68,110
2024,2579,98,1073,6,21,69,152
2025,2421,87,1141,20,22,101,163
