Filing Year,Male,Female,Another Gender,Unknown/Missing
2017,5457,1801,0,68
2018,4521,1455,1,79
2019,3982,1249,2,126
2020,3197,958,0,78
2021,3364,999,0,56
2022,2639,751,0,55
2023,2683,743,2,94
2024,3066,778,3,151
2025,2990,826,1,138
