Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,1,26,27,3.7,96.3
2017 Q2,4,32,36,11.1,88.9
2017 Q3,1,31,32,3.1,96.9
2017 Q4,3,33,36,8.3,91.7
2018 Q1,0,28,28,0.0,100.0
2018 Q2,1,13,14,7.1,92.9
2018 Q3,1,30,31,3.2,96.8
2018 Q4,3,25,28,10.7,89.3
2019 Q1,3,19,22,13.6,86.4
2019 Q2,1,18,19,5.3,94.7
2019 Q3,3,29,32,9.4,90.6
2019 Q4,2,33,35,5.7,94.3
2020 Q1,1,30,31,3.2,96.8
2020 Q2,2,31,33,6.1,93.9
2020 Q3,4,25,29,13.8,86.2
2020 Q4,3,27,30,10.0,90.0
2021 Q1,7,41,48,14.6,85.4
2021 Q2,6,31,37,16.2,83.8
2021 Q3,1,26,27,3.7,96.3
2021 Q4,3,17,20,15.0,85.0
2022 Q1,4,14,18,22.2,77.8
2022 Q2,5,29,34,14.7,85.3
2022 Q3,0,30,30,0.0,100.0
2022 Q4,2,26,28,7.1,92.9
2023 Q1,4,20,24,16.7,83.3
2023 Q2,1,30,31,3.2,96.8
2023 Q3,4,23,27,14.8,85.2
2023 Q4,1,20,21,4.8,95.2
2024 Q1,0,26,26,0.0,100.0
2024 Q2,3,25,28,10.7,89.3
2024 Q3,7,17,24,29.2,70.8
2024 Q4,5,24,29,17.2,82.8
2025 Q1,5,25,30,16.7,83.3
2025 Q2,4,20,24,16.7,83.3
2025 Q3,4,19,23,17.4,82.6
2025 Q4,4,22,26,15.4,84.6
2026 Q1,4,27,31,12.9,87.1
2026 Q2,0,18,18,0.0,100.0
