District,Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
05,2017 Q1,17.9091,19.75
05,2017 Q2,20.625,23.1111
05,2017 Q3,21.4,16.8889
05,2017 Q4,21.5556,17.6
05,2018 Q1,23.2222,25.125
05,2018 Q2,21.6667,18.7
05,2018 Q3,26.875,21.0
05,2018 Q4,27.5714,24.125
05,2019 Q1,17.9,18.2222
05,2019 Q2,19.7778,26.3333
05,2019 Q3,24.375,19.125
05,2019 Q4,23.125,22.7143
05,2020 Q1,23.5714,23.5
05,2020 Q2,18.625,26.8
05,2020 Q3,21.5,17.0
05,2020 Q4,16.5556,24.0
05,2021 Q1,18.1,24.4286
05,2021 Q2,19.0,31.1667
05,2021 Q3,22.5556,20.8571
05,2021 Q4,20.8889,20.75
05,2022 Q1,17.7778,20.8889
05,2022 Q2,14.0,20.125
05,2022 Q3,16.5,22.2857
05,2022 Q4,12.1818,18.4444
05,2023 Q1,16.0,23.6667
05,2023 Q2,13.5455,24.0
05,2023 Q3,12.3333,16.2857
05,2023 Q4,14.9,15.5
05,2024 Q1,12.5,15.0
05,2024 Q2,11.7,13.8
05,2024 Q3,15.9091,13.5556
05,2024 Q4,19.5,14.4444
05,2025 Q1,15.2222,13.6
05,2025 Q2,17.7778,14.75
05,2025 Q3,19.7778,21.5
05,2025 Q4,16.25,19.0
05,2026 Q1,16.4,22.6667
05,2026 Q2,18.8571,18.0
