Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2020,614,63,677,9.3
2021,609,45,654,6.9
2022,506,51,557,9.2
2023,517,41,558,7.3
2024,490,32,522,6.1
2025,549,27,576,4.7
