District,Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
06,2017,605,81,686,4,118,46,16,67,305,556,11.80758017,8.27338129
06,2018,742,75,817,4,127,55,11,64,364,625,9.17992656,8.8
06,2019,613,71,684,6,107,63,10,91,355,632,10.38011696,9.96835443
06,2020,614,63,677,0,79,66,4,65,271,485,9.30576071,13.60824742
06,2021,609,45,654,2,97,60,5,55,284,503,6.88073394,11.92842942
06,2022,506,51,557,1,96,58,4,44,248,451,9.1561939,12.86031042
06,2023,517,41,558,1,94,65,8,42,253,463,7.34767025,14.03887689
06,2024,490,32,522,1,127,56,14,38,219,455,6.1302682,12.30769231
06,2025,549,27,576,0,109,67,15,42,231,464,4.6875,14.43965517
06,2026,235,11,246,0,35,37,0,17,101,190,4.47154472,19.47368421
