Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,129,8,0,137,5.8,21,51,72,29.2
2017 Q2,148,13,0,161,8.1,23,44,67,34.3
2017 Q3,136,15,0,151,9.9,36,53,89,40.4
2017 Q4,150,5,1,156,3.2,30,62,92,32.6
2018 Q1,154,11,0,165,6.7,29,63,92,31.5
2018 Q2,194,13,2,209,6.2,35,60,95,36.8
2018 Q3,178,12,1,191,6.3,32,44,76,42.1
2018 Q4,154,23,0,177,13.0,30,81,111,27.0
2019 Q1,162,6,0,168,3.6,27,70,97,27.8
2019 Q2,137,15,0,152,9.9,31,61,92,33.7
2019 Q3,151,8,1,160,5.0,29,57,86,33.7
2019 Q4,117,16,0,133,12.0,27,63,90,30.0
2020 Q1,147,11,0,158,7.0,34,51,85,40.0
2020 Q2,107,34,0,141,24.1,27,35,62,43.5
2020 Q3,123,34,2,159,21.4,27,47,74,36.5
2020 Q4,130,23,3,156,14.7,28,26,54,51.9
2021 Q1,125,23,0,148,15.5,22,31,53,41.5
2021 Q2,140,12,0,152,7.9,32,40,72,44.4
2021 Q3,136,24,3,163,14.7,31,59,90,34.4
2021 Q4,121,25,0,146,17.1,37,37,74,50.0
2022 Q1,107,28,0,135,20.7,24,39,63,38.1
2022 Q2,85,15,0,100,15.0,31,45,76,40.8
2022 Q3,118,24,5,147,16.3,32,39,71,45.1
2022 Q4,102,16,6,124,12.9,22,20,42,52.4
2023 Q1,118,16,0,134,11.9,22,44,66,33.3
2023 Q2,109,6,0,116,5.2,28,47,75,37.3
2023 Q3,115,17,0,132,12.9,26,38,64,40.6
2023 Q4,120,15,0,135,11.1,29,27,56,51.8
2024 Q1,126,10,0,136,7.4,28,29,57,49.1
2024 Q2,85,14,1,100,14.0,26,28,54,48.1
2024 Q3,111,15,0,126,11.9,31,23,54,57.4
2024 Q4,111,15,1,128,11.7,29,39,68,42.6
2025 Q1,134,15,1,150,10.0,28,33,61,45.9
2025 Q2,126,27,1,154,17.5,43,22,65,66.2
2025 Q3,91,22,1,114,19.3,25,31,56,44.6
2025 Q4,105,26,0,131,19.8,26,38,64,40.6
2026 Q1,91,27,0,118,22.9,27,27,54,50.0
2026 Q2,78,30,7,115,26.1,29,19,48,60.4
