Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,605,5,610,0.8
2018,742,2,744,0.3
2019,613,1,614,0.2
2020,614,1,615,0.2
2021,609,0,609,0.0
2022,506,3,509,0.6
2023,517,3,520,0.6
2024,490,1,491,0.2
2025,549,0,549,0.0
