District,Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving White defendants declined
06,2024,13,0,13,69,7,76,323,9,332,0.0,9.21052632,2.71084337
06,2021,17,1,18,105,7,112,383,31,414,5.55555556,6.25,7.48792271
06,2022,23,2,25,82,9,91,319,37,356,8.0,9.89010989,10.39325843
06,2025,21,0,21,75,5,80,355,15,370,0.0,6.25,4.05405405
06,2020,14,0,14,100,14,114,402,38,440,0.0,12.28070175,8.63636364
06,2023,12,1,13,76,9,85,343,23,366,7.69230769,10.58823529,6.28415301
