District,Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
06,2017 Q1,129,8,0,137,5.83941606,21,51,72,29.16666667
06,2017 Q2,148,13,0,161,8.07453416,23,44,67,34.32835821
06,2017 Q3,136,15,0,151,9.93377483,36,53,89,40.4494382
06,2017 Q4,150,5,1,156,3.20512821,30,62,92,32.60869565
06,2018 Q1,154,11,0,165,6.66666667,29,63,92,31.52173913
06,2018 Q2,194,13,2,209,6.22009569,35,60,95,36.84210526
06,2018 Q3,178,12,1,191,6.28272251,32,44,76,42.10526316
06,2018 Q4,154,23,0,177,12.99435028,30,81,111,27.02702703
06,2019 Q1,162,6,0,168,3.57142857,27,70,97,27.83505155
06,2019 Q2,137,15,0,152,9.86842105,31,61,92,33.69565217
06,2019 Q3,151,8,1,160,5.0,29,57,86,33.72093023
06,2019 Q4,117,16,0,133,12.03007519,27,63,90,30.0
06,2020 Q1,147,11,0,158,6.96202532,34,51,85,40.0
06,2020 Q2,107,34,0,141,24.11347518,27,35,62,43.5483871
06,2020 Q3,123,34,2,159,21.3836478,27,47,74,36.48648649
06,2020 Q4,130,23,3,156,14.74358974,28,26,54,51.85185185
06,2021 Q1,125,23,0,148,15.54054054,22,31,53,41.50943396
06,2021 Q2,140,12,0,152,7.89473684,32,40,72,44.44444444
06,2021 Q3,136,24,3,163,14.72392638,31,59,90,34.44444444
06,2021 Q4,121,25,0,146,17.12328767,37,37,74,50.0
06,2022 Q1,107,28,0,135,20.74074074,24,39,63,38.0952381
06,2022 Q2,85,15,0,100,15.0,31,45,76,40.78947368
06,2022 Q3,118,24,5,147,16.32653061,32,39,71,45.07042254
06,2022 Q4,102,16,6,124,12.90322581,22,20,42,52.38095238
06,2023 Q1,118,16,0,134,11.94029851,22,44,66,33.33333333
06,2023 Q2,109,6,0,116,5.17241379,28,47,75,37.33333333
06,2023 Q3,115,17,0,132,12.87878788,26,38,64,40.625
06,2023 Q4,120,15,0,135,11.11111111,29,27,56,51.78571429
06,2024 Q1,126,10,0,136,7.35294118,28,29,57,49.12280702
06,2024 Q2,85,14,1,100,14.0,26,28,54,48.14814815
06,2024 Q3,111,15,0,126,11.9047619,31,23,54,57.40740741
06,2024 Q4,111,15,1,128,11.71875,29,39,68,42.64705882
06,2025 Q1,134,15,1,150,10.0,28,33,61,45.90163934
06,2025 Q2,126,27,1,154,17.53246753,43,22,65,66.15384615
06,2025 Q3,91,22,1,114,19.29824561,25,31,56,44.64285714
06,2025 Q4,105,26,0,131,19.84732824,26,38,64,40.625
06,2026 Q1,91,27,0,118,22.88135593,27,27,54,50.0
06,2026 Q2,78,30,7,115,26.08695652,27,18,45,60.0
