Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,605,5,610,4,118,46,16,67,305,556,0.8,8.3
2018,742,2,744,4,127,55,11,64,364,625,0.3,8.8
2019,613,1,614,6,107,63,10,91,355,632,0.2,10.0
2020,614,1,615,0,79,66,4,65,271,485,0.2,13.6
2021,609,0,609,2,97,60,5,55,284,503,0.0,11.9
2022,506,3,509,1,96,58,4,44,248,451,0.6,12.9
2023,517,3,520,1,94,65,8,42,253,463,0.6,14.0
2024,490,1,491,1,127,56,14,38,219,455,0.2,12.3
2025,549,0,549,0,111,67,15,42,232,467,0.0,14.3
