Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,Native American Felony Referrals Filed,Native American Felony Referrals Not Filed,Native American Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving Native American defendants declined,Percent of cases involving White defendants declined
2017,15,5,20,88,12,100,85,5,90,396,49,445,25.0,12.0,5.6,11.0
2018,16,1,17,117,11,128,86,4,90,508,49,557,5.9,8.6,4.4,8.8
2019,16,4,20,83,9,92,104,1,105,401,51,452,20.0,9.8,1.0,11.3
2020,14,0,14,100,14,114,84,3,87,402,38,440,0.0,12.3,3.4,8.6
2021,17,1,18,105,7,112,93,0,93,383,31,414,5.6,6.2,0.0,7.5
2022,24,2,26,81,9,90,75,0,75,319,37,356,7.7,10.0,0.0,10.4
2023,12,1,13,76,9,85,82,2,84,343,23,366,7.7,10.6,2.4,6.3
2024,14,0,14,68,7,75,80,4,84,323,9,332,0.0,9.3,4.8,2.7
2025,21,0,21,73,6,79,82,0,82,357,15,372,0.0,7.6,0.0,4.0
