Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,26.8889,30.8125
2017 Q2,22.6522,34.375
2017 Q3,26.35,26.75
2017 Q4,22.0,25.8235
2018 Q1,29.5789,29.3125
2018 Q2,28.4,32.8889
2018 Q3,26.8182,27.8421
2018 Q4,27.8235,27.95
2019 Q1,23.6842,31.1875
2019 Q2,24.8889,29.3
2019 Q3,26.2632,28.5882
2019 Q4,21.7647,30.5
2020 Q1,18.1176,27.7059
2020 Q2,15.6667,18.4
2020 Q3,21.4737,19.3889
2020 Q4,21.5789,21.5625
2021 Q1,19.8636,19.3684
2021 Q2,19.3,24.6471
2021 Q3,26.375,23.5238
2021 Q4,21.95,22.9333
2022 Q1,18.5556,23.5294
2022 Q2,18.3913,23.05
2022 Q3,23.8333,21.2353
2022 Q4,22.8824,22.7368
2023 Q1,23.5,23.9412
2023 Q2,27.3125,19.1905
2023 Q3,22.1429,24.375
2023 Q4,24.3125,25.8235
2024 Q1,19.25,28.125
2024 Q2,17.4,21.35
2024 Q3,17.3077,24.2778
2024 Q4,18.64,21.2778
2025 Q1,16.3478,23.0526
2025 Q2,18.4762,20.4762
2025 Q3,21.8095,20.2353
2025 Q4,17.8182,19.2353
2026 Q1,18.6316,22.4706
2026 Q2,23.5294,17.5789
