Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,26.8889,30.8125
2017 Q2,22.6522,34.375
2017 Q3,26.4,26.75
2017 Q4,22.0476,25.8235
2018 Q1,28.4,29.3125
2018 Q2,28.4,32.8889
2018 Q3,26.8636,27.8421
2018 Q4,27.8824,28.05
2019 Q1,23.6842,31.1875
2019 Q2,24.8889,29.3
2019 Q3,25.25,28.5882
2019 Q4,21.7059,30.5
2020 Q1,18.1176,27.7059
2020 Q2,15.619,18.4
2020 Q3,21.3158,19.3889
2020 Q4,21.5789,21.5
2021 Q1,19.8182,19.3158
2021 Q2,19.35,24.6471
2021 Q3,26.375,24.5
2021 Q4,21.1905,22.9333
2022 Q1,19.3529,23.5294
2022 Q2,18.6522,23.1
2022 Q3,24.0,21.2941
2022 Q4,22.7647,22.8947
2023 Q1,24.7647,24.1176
2023 Q2,27.5,19.2857
2023 Q3,22.2857,24.4375
2023 Q4,24.3125,25.8824
2024 Q1,19.25,28.1875
2024 Q2,17.0,21.35
2024 Q3,17.4231,23.3158
2024 Q4,19.3333,21.3333
2025 Q1,16.3913,24.1111
2025 Q2,19.35,20.4762
2025 Q3,22.6,20.0588
2025 Q4,19.4,18.3333
2026 Q1,21.375,22.4706
2026 Q2,26.5333,18.2667
