District,Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
09,2017 Q1,35,49,84,41.66666667
09,2017 Q2,47,63,110,42.72727273
09,2017 Q3,33,55,88,37.5
09,2017 Q4,45,84,129,34.88372093
09,2018 Q1,40,59,99,40.4040404
09,2018 Q2,46,58,104,44.23076923
09,2018 Q3,45,53,98,45.91836735
09,2018 Q4,47,49,96,48.95833333
09,2019 Q1,41,47,88,46.59090909
09,2019 Q2,58,63,121,47.9338843
09,2019 Q3,72,55,127,56.69291339
09,2019 Q4,61,65,126,48.41269841
09,2020 Q1,76,81,157,48.40764331
09,2020 Q2,55,57,112,49.10714286
09,2020 Q3,27,49,76,35.52631579
09,2020 Q4,45,48,93,48.38709677
09,2021 Q1,42,42,84,50.0
09,2021 Q2,33,48,81,40.74074074
09,2021 Q3,54,52,106,50.94339623
09,2021 Q4,54,62,116,46.55172414
09,2022 Q1,42,64,106,39.62264151
09,2022 Q2,29,66,95,30.52631579
09,2022 Q3,39,46,85,45.88235294
09,2022 Q4,29,37,66,43.93939394
09,2023 Q1,27,39,66,40.90909091
09,2023 Q2,25,56,81,30.86419753
09,2023 Q3,26,52,78,33.33333333
09,2023 Q4,25,40,65,38.46153846
09,2024 Q1,21,51,72,29.16666667
09,2024 Q2,24,44,68,35.29411765
09,2024 Q3,28,50,78,35.8974359
09,2024 Q4,22,38,60,36.66666667
09,2025 Q1,33,57,90,36.66666667
09,2025 Q2,27,38,65,41.53846154
09,2025 Q3,17,53,70,24.28571429
09,2025 Q4,19,27,46,41.30434783
09,2026 Q1,38,32,70,54.28571429
09,2026 Q2,22,47,69,31.88405797
