Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2019,4,0,4,40,46,86,3,2,5,179,169,348,100.0,46.5,60.0,51.4
2020,0,1,1,50,47,97,8,7,15,138,177,315,0.0,51.5,53.3,43.8
2021,0,2,2,29,34,63,4,4,8,145,160,305,0.0,46.0,50.0,47.5
2022,0,2,2,42,71,113,4,7,11,93,129,222,0.0,37.2,36.4,41.9
2023,0,0,0,35,55,90,5,9,14,61,117,178,,38.9,35.7,34.3
2024,2,1,3,22,32,54,5,4,9,63,139,202,66.7,40.7,55.6,31.2
2025,0,1,1,32,61,93,1,3,4,61,108,169,0.0,34.4,25.0,36.1
