District,Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
09,2020,70,33,122,3,14,424
09,2021,125,62,97,4,11,376
09,2022,112,54,77,14,14,338
09,2023,54,38,105,6,13,276
09,2024,69,35,66,4,14,265
09,2025,51,26,79,2,14,257
