Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2020,0,1,1,49,47,96,8,7,15,139,177,316,0.0,51.04166667,53.33333333,43.98734177
2021,0,2,2,29,34,63,4,4,8,145,160,305,0.0,46.03174603,50.0,47.54098361
2022,0,2,2,42,71,113,4,7,11,93,129,222,0.0,37.16814159,36.36363636,41.89189189
2023,0,0,0,35,55,90,5,9,14,61,117,178,,38.88888889,35.71428571,34.26966292
2024,2,1,3,22,32,54,5,4,9,63,139,202,66.66666667,40.74074074,55.55555556,31.18811881
2025,0,1,1,32,61,93,1,3,4,60,108,168,0.0,34.40860215,25.0,35.71428571
