Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,35,49,84,41.7
2017 Q2,47,63,110,42.7
2017 Q3,33,55,88,37.5
2017 Q4,45,84,129,34.9
2018 Q1,40,59,99,40.4
2018 Q2,46,58,104,44.2
2018 Q3,45,53,98,45.9
2018 Q4,48,49,97,49.5
2019 Q1,41,47,88,46.6
2019 Q2,58,63,121,47.9
2019 Q3,72,55,127,56.7
2019 Q4,61,65,126,48.4
2020 Q1,76,81,157,48.4
2020 Q2,55,57,112,49.1
2020 Q3,27,49,76,35.5
2020 Q4,45,48,93,48.4
2021 Q1,42,42,84,50.0
2021 Q2,33,48,81,40.7
2021 Q3,54,52,106,50.9
2021 Q4,54,62,116,46.6
2022 Q1,42,64,106,39.6
2022 Q2,29,66,95,30.5
2022 Q3,39,46,85,45.9
2022 Q4,29,37,66,43.9
2023 Q1,27,39,66,40.9
2023 Q2,25,56,81,30.9
2023 Q3,26,52,78,33.3
2023 Q4,25,40,65,38.5
2024 Q1,21,51,72,29.2
2024 Q2,24,44,68,35.3
2024 Q3,28,50,78,35.9
2024 Q4,22,38,60,36.7
2025 Q1,33,57,90,36.7
2025 Q2,27,38,65,41.5
2025 Q3,17,53,70,24.3
2025 Q4,20,27,47,42.6
2026 Q1,38,32,70,54.3
2026 Q2,23,49,72,31.9
