District,Metric,Felony,Misdemeanor
09,Cases Resolved 2025,429.0,2874.0
09,Change since 2024,-5.29801325,4.09272003
09,,,
09,Cases Resolved Quarter 4 2025,83.0,726.0
09,Change since Quarter 4 2024,-26.54867257,5.83090379
