Metric,Felony,Misdemeanor
Cases Resolved 2025,430.0,2876.0
Change since 2024,-5.07726269,3.75180375
,,
Cases Resolved Quarter 4 2025,84.0,727.0
Change since Quarter 4 2024,-25.66371681,5.51523948
