District,Disposition Quarter,Average number of hearings per case
09,2017 Q1,8.7842
09,2017 Q2,11.4054
09,2017 Q3,9.2886
09,2017 Q4,10.4527
09,2018 Q1,9.4157
09,2018 Q2,8.8486
09,2018 Q3,9.1986
09,2018 Q4,9.966
09,2019 Q1,9.9452
09,2019 Q2,9.2374
09,2019 Q3,9.3958
09,2019 Q4,9.3021
09,2020 Q1,10.6926
09,2020 Q2,10.2937
09,2020 Q3,10.6885
09,2020 Q4,10.8074
09,2021 Q1,9.3893
09,2021 Q2,11.75
09,2021 Q3,12.4677
09,2021 Q4,11.8846
09,2022 Q1,13.0368
09,2022 Q2,13.125
09,2022 Q3,13.7266
09,2022 Q4,11.9286
09,2023 Q1,13.3839
09,2023 Q2,14.0916
09,2023 Q3,12.3233
09,2023 Q4,10.9091
09,2024 Q1,13.8362
09,2024 Q2,12.3535
09,2024 Q3,10.9435
09,2024 Q4,10.3211
09,2025 Q1,10.3307
09,2025 Q2,11.4904
09,2025 Q3,9.9292
09,2025 Q4,12.878
09,2026 Q1,11.7826
09,2026 Q2,9.5566
