Disposition Quarter,Average number of hearings per case
2017 Q1,8.7842
2017 Q2,11.4054
2017 Q3,9.2886
2017 Q4,10.4527
2018 Q1,9.4157
2018 Q2,8.8387
2018 Q3,9.1986
2018 Q4,9.9392
2019 Q1,9.9452
2019 Q2,9.2374
2019 Q3,9.4041
2019 Q4,9.3021
2020 Q1,10.6926
2020 Q2,10.2937
2020 Q3,10.6885
2020 Q4,10.8074
2021 Q1,9.3893
2021 Q2,11.75
2021 Q3,12.4677
2021 Q4,11.8846
2022 Q1,13.0368
2022 Q2,13.125
2022 Q3,13.7266
2022 Q4,11.9286
2023 Q1,13.3839
2023 Q2,14.0916
2023 Q3,12.3233
2023 Q4,10.9091
2024 Q1,13.8362
2024 Q2,12.3535
2024 Q3,10.9435
2024 Q4,10.3211
2025 Q1,10.3307
2025 Q2,11.4904
2025 Q3,9.9292
2025 Q4,12.7952
2026 Q1,11.7826
2026 Q2,9.9358
