Disposition Year,Conviction,No Conviction,Total
2017,49,30,79
2018,48,43,91
2019,45,23,68
2020,36,24,60
2021,49,23,72
2022,37,20,57
2023,43,31,74
2024,43,18,61
2025,45,16,61
