Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
2020,168,1462,1630,198,1232,1430,10.3,13.8
2021,153,1534,1687,340,1932,2272,9.1,15.0
2022,165,1295,1460,356,2197,2553,11.3,13.9
2023,328,1790,2118,345,1690,2035,15.5,17.0
2024,354,2283,2637,288,1610,1898,13.4,15.2
2025,305,1995,2300,361,1443,1804,13.3,20.0
