District,Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
20,2020,176,188,364,48.35164835,51.64835165
20,2021,207,175,382,54.18848168,45.81151832
20,2022,221,199,420,52.61904762,47.38095238
20,2023,178,241,423,42.08037825,56.97399527
20,2024,195,239,434,44.93087558,55.06912442
20,2025,214,203,418,51.19617225,48.5645933
