Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
2017,2398,56,184,11,48,3422,30
2018,2487,64,143,6,26,4209,29
2019,2120,67,94,5,39,3171,27
2020,2183,51,18,4,36,2180,185
2021,2766,64,11,4,33,2057,318
2022,3064,88,48,2,28,2277,125
2023,2281,89,255,8,48,3759,120
2024,2221,104,362,10,49,3598,99
2025,2605,140,277,8,56,2746,71
