Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,23,190,213,32,264,296,10.79812207,10.81081081
2021,31,195,226,31,321,352,13.71681416,8.80681818
2022,32,181,213,39,364,403,15.02347418,9.67741935
2023,44,210,254,54,294,348,17.32283465,15.51724138
2024,37,200,237,58,353,411,15.61181435,14.11192214
2025,46,220,266,70,287,357,17.29323308,19.60784314
