Filing Year,Male,Female,Unknown/Missing
2017,1538,1972,2639
2018,2019,2312,2633
2019,1614,1883,2026
2020,1770,1733,1154
2021,1924,2146,1183
2022,2114,2284,1234
2023,2216,2320,2024
2024,2094,2289,2060
2025,2184,2115,1604
