District,Filing Quarter,Number of violent cases filed involving a child victim
20,2017 Q1,4
20,2017 Q2,10
20,2017 Q3,13
20,2017 Q4,7
20,2018 Q1,9
20,2018 Q2,12
20,2018 Q3,12
20,2018 Q4,18
20,2019 Q1,11
20,2019 Q2,21
20,2019 Q3,12
20,2019 Q4,25
20,2020 Q1,20
20,2020 Q2,19
20,2020 Q3,11
20,2020 Q4,19
20,2021 Q1,18
20,2021 Q2,7
20,2021 Q3,19
20,2021 Q4,24
20,2022 Q1,14
20,2022 Q2,16
20,2022 Q3,23
20,2022 Q4,17
20,2023 Q1,25
20,2023 Q2,9
20,2023 Q3,25
20,2023 Q4,23
20,2024 Q1,23
20,2024 Q2,19
20,2024 Q3,16
20,2024 Q4,22
20,2025 Q1,23
20,2025 Q2,33
20,2025 Q3,21
20,2025 Q4,15
20,2026 Q1,13
20,2026 Q2,24
