District,Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
20,2024,30,82,101,126,432,18.98148148,23.37962963
20,2021,18,82,87,96,381,21.52230971,22.83464567
20,2022,10,88,84,118,419,21.00238663,20.0477327
20,2025,29,95,95,110,416,22.83653846,22.83653846
20,2019,6,82,57,82,297,27.60942761,19.19191919
20,2020,10,94,86,100,363,25.8953168,23.69146006
20,2023,24,77,84,139,418,18.42105263,20.09569378
20,2017,13,79,79,93,327,24.15902141,24.15902141
20,2026,7,27,44,43,156,17.30769231,28.20512821
20,2018,11,91,111,97,396,22.97979798,28.03030303
