Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,23,190,213,32,264,296,10.8,10.8
2021,31,195,226,31,321,352,13.7,8.8
2022,32,181,213,39,364,403,15.0,9.7
2023,44,210,254,54,294,348,17.3,15.5
2024,37,200,237,58,353,411,15.6,14.1
2025,46,220,266,70,287,357,17.3,19.6
