Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,2,8,9,8,33,24.2,27.3
2017 Q2,3,14,16,17,64,21.9,25.0
2017 Q3,3,28,23,25,96,29.2,24.0
2017 Q4,3,22,19,37,102,21.6,18.6
2018 Q1,2,19,19,14,62,30.6,30.6
2018 Q2,4,21,30,22,87,24.1,34.5
2018 Q3,5,23,29,25,107,21.5,27.1
2018 Q4,2,26,36,35,132,19.7,27.3
2019 Q1,0,12,5,10,40,30.0,12.5
2019 Q2,0,13,6,19,60,21.7,10.0
2019 Q3,3,21,21,27,87,24.1,24.1
2019 Q4,2,42,31,31,138,30.4,22.5
2020 Q1,3,23,19,22,87,26.4,21.8
2020 Q2,1,17,29,26,96,17.7,30.2
2020 Q3,5,26,21,28,96,27.1,21.9
2020 Q4,2,31,20,26,96,32.3,20.8
2021 Q1,4,25,27,34,112,22.3,24.1
2021 Q2,5,13,18,22,74,17.6,24.3
2021 Q3,3,21,18,17,88,23.9,20.5
2021 Q4,6,23,24,23,107,21.5,22.4
2022 Q1,0,13,17,26,79,16.5,21.5
2022 Q2,2,25,22,25,111,22.5,19.8
2022 Q3,4,30,28,27,117,25.6,23.9
2022 Q4,4,20,17,40,112,17.9,15.2
2023 Q1,5,21,16,33,97,21.6,16.5
2023 Q2,9,20,18,33,100,20.0,18.0
2023 Q3,6,21,30,40,122,17.2,24.6
2023 Q4,4,15,20,33,99,15.2,20.2
2024 Q1,10,19,34,34,131,14.5,26.0
2024 Q2,2,19,14,32,84,22.6,16.7
2024 Q3,7,20,31,27,109,18.3,28.4
2024 Q4,11,24,22,33,108,22.2,20.4
2025 Q1,7,23,22,26,95,24.2,23.2
2025 Q2,11,30,27,30,116,25.9,23.3
2025 Q3,7,21,23,29,102,20.6,22.5
2025 Q4,4,22,22,24,103,21.4,21.4
2026 Q1,2,11,19,18,58,19.0,32.8
2026 Q2,4,17,26,22,96,17.7,27.1
