Filing Year,Male,Female,Another Gender,Unknown/Missing
2017,14491,5392,7,190
2018,14729,5461,0,109
2019,15830,5819,2,85
2020,12588,4297,1,74
2021,13272,4628,3,128
2022,11767,4053,2,33
2023,13019,4379,2,33
2024,13875,4508,3,30
2025,18276,6189,2,187
