District,Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
17,2017 Q1,178,132,166,476
17,2017 Q2,167,134,159,460
17,2017 Q3,169,150,118,437
17,2017 Q4,174,142,154,470
17,2018 Q1,179,151,142,472
17,2018 Q2,226,151,146,523
17,2018 Q3,232,120,135,487
17,2018 Q4,200,137,125,462
17,2019 Q1,233,141,121,495
17,2019 Q2,226,142,120,488
17,2019 Q3,193,131,104,428
17,2019 Q4,223,127,119,469
17,2020 Q1,187,124,88,399
17,2020 Q2,89,53,60,202
17,2020 Q3,156,63,86,305
17,2020 Q4,174,66,72,312
17,2021 Q1,189,80,79,348
17,2021 Q2,176,88,80,344
17,2021 Q3,205,75,80,360
17,2021 Q4,227,90,74,391
17,2022 Q1,226,76,78,380
17,2022 Q2,283,105,68,456
17,2022 Q3,236,87,73,396
17,2022 Q4,244,111,74,429
17,2023 Q1,289,91,98,478
17,2023 Q2,281,123,95,499
17,2023 Q3,237,97,107,441
17,2023 Q4,230,100,72,402
17,2024 Q1,230,102,101,433
17,2024 Q2,235,127,95,457
17,2024 Q3,239,107,113,459
17,2024 Q4,226,71,99,396
17,2025 Q1,240,93,77,410
17,2025 Q2,203,109,85,397
17,2025 Q3,231,87,88,406
17,2025 Q4,168,92,67,327
17,2026 Q1,195,74,88,357
17,2026 Q2,204,114,96,414
17,2026 Q3,2,0,1,3
17,2026 Q4,0,1,0,1
17,2029 Q2,0,0,1,1
17,2061 Q1,1,0,0,1
