District,Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
17,2017,11671,2775,5634
17,2018,10886,3335,6078
17,2019,11681,3693,6361
17,2020,8246,3766,4948
17,2021,8533,4224,5274
17,2022,7314,3815,4720
17,2023,8638,3758,4997
17,2024,9357,3907,5111
17,2025,13822,4205,6618
