District,Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
17,2017,11843,1562,5783,51,183,476,182
17,2018,11912,1744,5844,57,211,412,119
17,2019,12401,1776,6738,37,264,391,128
17,2020,9551,1379,5406,49,157,295,123
17,2021,9784,1572,5977,54,218,287,139
17,2022,8849,1408,5040,59,168,252,73
17,2023,9515,1515,5783,66,192,245,77
17,2024,9822,1576,6425,59,232,194,67
17,2025,12984,2110,8581,56,279,416,219
