Filing Year,Male,Female,Another Gender,Unknown/Missing
2017,14492,5391,7,190
2018,14729,5459,0,111
2019,15829,5817,4,85
2020,12589,4297,1,73
2021,13273,4626,3,129
2022,11763,4051,2,33
2023,12992,4368,1,32
2024,13842,4498,3,32
2025,18271,6183,3,188
