Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,11664,2776,5640
2018,10873,3337,6089
2019,11672,3699,6365
2020,8239,3771,4950
2021,8517,4230,5284
2022,7302,3826,4727
2023,8651,3768,5014
2024,9381,3911,5124
2025,13800,4239,6615
