Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,11827,1565,5799,51,182,474,182
2018,11902,1745,5858,57,211,408,118
2019,12401,1784,6734,38,265,387,127
2020,9545,1380,5417,44,157,294,123
2021,9779,1571,5986,53,219,284,139
2022,8839,1411,5055,58,168,251,73
2023,9532,1517,5802,67,192,245,78
2024,9861,1572,6428,61,232,195,67
2025,12995,2110,8582,59,280,409,219
