Year,Prosecutors,"Clerical, Paralegal, and Admin.",Victim/Witness Staff,Investigators/Officers,Other,Total Staff,"Percent of staff in clerical, paralegal, or general support positions"
2017,67,47,20,12,20,166,28.3
2018,70,49,21,13,17,170,28.8
2019,72,53,24,12,16,177,29.9
2020,77,55,23,15,18,188,29.3
2021,84,54,22,16,21,197,27.4
2022,84,62,25,17,19,207,30.0
2023,86,58,25,17,20,206,28.2
2024,89,55,25,14,25,208,26.4
