Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
2020,27,107,134,45,138,183,20.1,24.6
2021,41,151,192,46,172,218,21.4,21.1
2022,32,139,171,62,166,228,18.7,27.2
2023,69,185,254,113,237,350,27.2,32.3
2024,75,200,275,160,364,524,27.3,30.5
2025,74,201,275,91,318,409,26.9,22.2
