District,Filing Year,Under 18,18-25 y.o.,26-35 y.o.,36+ y.o.,Unknown/Missing
22,2017,139,142,172,392,265
22,2018,125,130,189,448,256
22,2019,132,130,233,481,326
22,2020,143,122,223,493,348
22,2021,146,128,297,617,400
22,2022,145,139,213,555,181
22,2023,178,137,225,540,143
22,2024,189,137,208,524,203
22,2025,190,153,261,499,198
