Disposition Quarter,Conviction,No Conviction,Total
2017 Q1,2,1,3
2017 Q2,1,1,2
2017 Q3,2,2,4
2017 Q4,1,1,2
2018 Q1,2,0,2
2018 Q2,3,0,3
2018 Q3,1,1,2
2018 Q4,0,1,1
2019 Q2,2,0,2
2019 Q3,1,0,1
2019 Q4,1,0,1
2020 Q1,0,1,1
2020 Q2,1,1,2
2020 Q3,2,0,2
2020 Q4,1,2,3
2021 Q1,2,0,2
2021 Q2,2,2,4
2021 Q3,1,0,1
2021 Q4,2,0,2
2022 Q1,2,1,3
2022 Q2,1,0,1
2022 Q3,3,1,4
2022 Q4,4,0,4
2023 Q1,2,0,2
2023 Q2,0,1,1
2023 Q3,0,2,2
2023 Q4,0,3,3
2024 Q1,2,1,3
2024 Q2,0,2,2
2024 Q3,1,1,2
2024 Q4,0,1,1
2025 Q1,1,0,1
2025 Q2,0,1,1
2025 Q3,1,0,1
2025 Q4,1,1,2
