Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,8,24,32,7,23,30,25.0,23.3
2021,11,33,44,10,25,35,25.0,28.6
2022,5,22,27,7,23,30,18.5,23.3
2023,18,25,43,14,39,53,41.9,26.4
2024,15,35,50,24,48,72,30.0,33.3
2025,11,36,47,9,34,43,23.4,20.9
