Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
2017,561,3,3,212,4,318,9
2018,562,7,19,252,3,300,5
2019,692,2,30,236,2,330,10
2020,641,9,35,274,2,357,11
2021,847,11,46,308,10,357,9
2022,653,12,45,272,10,226,15
2023,577,6,29,252,2,175,182
2024,670,13,52,197,6,173,150
2025,715,11,55,305,3,145,67
