Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,4,12,16,4,10,14,25.0,28.6
2021,0,14,14,1,12,13,0.0,7.7
2022,2,17,19,5,11,16,10.5,31.2
2023,7,18,25,8,11,19,28.0,42.1
2024,9,18,27,13,11,24,33.3,54.2
2025,5,18,23,3,6,9,21.7,33.3
