District,Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
22,2017 Q1,0,2,2,10,14,14.28571429,14.28571429
22,2017 Q2,1,5,1,7,14,35.71428571,7.14285714
22,2017 Q3,0,7,3,5,15,46.66666667,20.0
22,2017 Q4,0,2,2,3,7,28.57142857,28.57142857
22,2018 Q1,0,2,3,12,17,11.76470588,17.64705882
22,2018 Q2,0,2,0,5,7,28.57142857,0.0
22,2018 Q3,0,7,3,13,23,30.43478261,13.04347826
22,2018 Q4,1,2,6,13,22,9.09090909,27.27272727
22,2019 Q1,0,6,2,9,17,35.29411765,11.76470588
22,2019 Q2,0,2,2,10,14,14.28571429,14.28571429
22,2019 Q3,0,5,3,18,26,19.23076923,11.53846154
22,2019 Q4,0,3,2,15,20,15.0,10.0
22,2020 Q1,0,6,1,16,23,26.08695652,4.34782609
22,2020 Q2,1,5,7,5,18,27.77777778,38.88888889
22,2020 Q3,0,4,2,15,21,19.04761905,9.52380952
22,2020 Q4,0,4,0,16,20,20.0,0.0
22,2021 Q1,1,2,3,19,25,8.0,12.0
22,2021 Q2,0,3,8,14,25,12.0,32.0
22,2021 Q3,0,4,1,12,17,23.52941176,5.88235294
22,2021 Q4,0,1,0,5,6,16.66666667,0.0
22,2022 Q1,0,0,5,14,19,0.0,26.31578947
22,2022 Q2,0,0,0,14,14,0.0,0.0
22,2022 Q3,0,5,0,11,16,31.25,0.0
22,2022 Q4,1,3,0,4,8,37.5,0.0
22,2023 Q1,0,2,2,11,15,13.33333333,13.33333333
22,2023 Q2,3,2,2,12,19,10.52631579,10.52631579
22,2023 Q3,1,3,2,15,21,14.28571429,9.52380952
22,2023 Q4,1,5,7,22,35,14.28571429,20.0
22,2024 Q1,0,2,0,21,23,8.69565217,0.0
22,2024 Q2,1,1,1,16,19,5.26315789,5.26315789
22,2024 Q3,1,4,2,13,20,20.0,10.0
22,2024 Q4,1,2,0,8,11,18.18181818,0.0
22,2025 Q1,0,2,2,15,19,10.52631579,10.52631579
22,2025 Q2,1,1,4,9,15,6.66666667,26.66666667
22,2025 Q3,1,6,3,14,24,25.0,12.5
22,2025 Q4,1,1,1,14,17,5.88235294,5.88235294
22,2026 Q1,1,1,2,13,17,5.88235294,11.76470588
22,2026 Q2,0,1,1,9,11,9.09090909,9.09090909
