Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,35,47,82,42.7,57.3
2021,27,46,73,37.0,63.0
2022,29,28,57,50.9,49.1
2023,45,45,90,50.0,50.0
2024,38,35,73,52.1,47.9
2025,39,36,75,52.0,48.0
